Premise 1,Premise 2,Syllogistic relation
A better view about situations leads to better decision making.,Criticizing gives us better view about the situation.,yes
Whole eggs are an excellent source of choline.,Choline is an incredibly important substance.,yes
Spending so much time on social media leads to irregular sleep pattern.,Having irregular sleep pattern reduce the productivity.,yes
intensive farming is practiced mainly in developed countries,"Intensive farming is cultivation to maximise profit, with a low fallow ratio and a high use of inputs",yes
"Unlike the innate immune system, which attacks only based on the identification of general threats, the adaptive immunity is activated by exposure to pathogens","during the long-term stress response, the immune system remain activated.",no
Debonding of FRP laminates exposes the surface of concrete to environmental damages.,Presence of moisture in the interface of concrete and FRP laminates deteriorates the bond.,yes
Nicotin is a substance in tobacco that gives pleasure to smokers which stop the muscles used for breathing.,Muscles used for breathing are stopped by a substance in tobacco from which smokers gain pleasure.,no
"The jackfruit bears fruits on its trunk as well as its main branches, and they are attached to the tree by a short stem.","Cauliflorous bears fruits on its trunk as well as its main branches, and they are attached to the tree by a short stem.",yes
Airports make reaching various areas in the country easier.,airports greatly facilitate access to the other parts of the country,no
solving energy production problem is done to ensure America's security and prosperity . ,The energy policy of the United States addresses issues of energy production,yes
 vitamin C can enhance  iron’s absorption,½ cup orange juice provides 100% of your vitamin c daily value.,yes
Anything that is non-biodegradable can't be eaten up or broke up by small creatures like bacteria.,Plastic is non-biodegradable.,yes
Cigar can spreads the smoke into your lungs,Mobile phones are wide spread among teens.,no
Small electrical charges could help airplanes avoid lightning strikes.,Collision of small bits of ice fills up thundercloud with electrical charges.,no
Production of AGEs may cause the skin to age prematurely.,Consuming a diet high in refined carbs and sugar leads to production of AGEs.,yes
"In classes we wre provided with all sorts of information about how to make pills, suppositories, and powders, and recognize negative pressure cupping and leech glasses.",The boss is under extreme pressure of his employees.,no
Any opportunity to development in your career is a door to better future,"American Jewish theologian, was born in Bohemia, but his career is associated with the organization of the Jewish reform movement in the United States.",no
Extravertive people can draw energy from the crowd.,"A research conducted at Bielefeld University has shown that plants can draw energy from another source, like other plants nearby.",no
"unequal geographic balance of trade, logistical roadblocks, policy gaps, and inadequate infrastructure persist, limiting access to creative goods and services","Measures calculated to solve, simultaneously and through a single general plan, the problem of the unequal balance of trade ",yes
"when you eat animals who have been fed antibiotics,your body becomes resistant to antibiotics","non-organic food sources, particularly livestock and feed houses, use antibiotics to feed their animals",yes
Longitudinal steel reinforcements in beam enhances the ductility.,Ductility enhancement improves the total flexibility of structures exposed to seismic loads.,yes
mental pressures in people can lead to cancer.,people pressure is to control your contribution to the interaction.,no
Scientists believe that factors that make people's self-steem low are main reason of eating disorders.,"According to scientists, eating disorders are usually caused by factors that lower people’s self-esteem.",no
releasing stresses of workplace contributes to boosting work performance.,   Having hobbies outside of work is a great way to clear out our anxieties and concerns. .,yes
What was the factor of Barcelona’s loss?,Here is a bedtime routine for you to calm your busy mind at nights.,no
"hidden Sugar in the foods increases the risk of obesity, diabetes, and heart disease",When you buy food prepared by someone else it may have contain hidden sugars,yes
"Wheat bran, vegetables like green beans and dark leafy greens, root vegetables like carrots, beets, and radish, fruit skins and intact whole grains contain isoluble fiber.",For being in shape it is recommend that you should eat things which contain insoluble fiber.,yes
  Problems in normal thinking abilities can lead to intolerance and less empathy toward others. ,Being apathetic makes people alone.  ,yes
Use headphones if you are bothered by the sound of the train.,Mother tells a story to their children about depression.,no
Most bankrupt companies do not have goals,There is no goal for the majority of bankrupt firms.,no
"the setting off of unchecked neuromuscular junctions in the nervous system can bring about symptoms that include anxiety, life-threatening seizures, delirium tremens, hallucinations, shakes and possible heart failure","if alcohol consumption is stopped too abruptly, the person's nervous system suffers from uncontrolled synapse firing",yes
Finishing at third place in Champions league means team did not qualify for knockout stages.,Inter Milan became third in Group stage of Champions League.,yes
People who have red hair have MC1R gene.,The risk of cancer in people who have MC1R gene is much more than others.,yes
The act of not absorbing the water by soil may ultimately lead to big floods. ,"Water, Air, & Soil Pollution is a monthly peer-reviewed scientific journal covering the study of environmental pollution. I",no
The combined estrogen and progesterone treatment leads to beneficial effects on plasma lipoproteins.,olive oil to beneficial effects on blood sugar and insulin sensitivity.,no
"If your water tastes better, you probably drink more.",We tend to drink more water when it tastes better,no
" When a massive star runs out of fuel, its' internal pressure drops.",Dropping of pressure inside a star results in a supernova.,yes
Customers confidence in your business and its reliability will keep customers coming back to you,Professionalism helps breed trust and credibility with customers,yes
Releasing some material in onion can motivate nerves in the eye.,Your eyes see and your nerves must motivate you to take the necessary steps to relax.,no
Chronic indigestion can be treated with ginger.,The John Hopkins clinical hospital offers free courses about how to treat or help patients with chronic illnesses.,no
Annually many people commit suicide by drinking acidic liquids.,Drinking acidic liquid can cause dental erosion.,no
"In closed areas, high levels of carbon dioxide can lead to health complaints such as headaches.",Carbon dioxide comes from burning coal,yes
I can pick you up at the hospital after work and we can spend the night up there.,"when an alcoholic father sold all of his children, the police were obliged to intervene.",no
Too much anxiety comes from depression.,Major depression can be responsible for anxiousness.,no
Sleep disorder alters the nature of sleeping and relaxing.,change in nature of nap and resting alters the breathing pattern.,yes
They did another x-ray this morning and the infection has spread to the other lung which inreases possiblity of death for this individual.,Having close distance to individuals with lung-disease increase the risk of infection.,no
It's a big mistake to judge computer devices by their appearance.,The appearance of the most prevailing computer device challenged the big companies to fortify their developments.,no
One member of the Cardinal family which is subdivided to the genus Pheucticus is Rose-breasted Grosbeak.,"My members of family divided to my sister Rose, my mother and my father.",no
Cancer is a group of diseases involving abnormal cell growth with the potential to invade or spread to other parts of the body,"Possible signs and symptoms of cancer include a lump, abnormal bleeding, prolonged cough, unexplained weight loss, and a change in bowel movements",yes
A food that is too fatty may stops the absorption of vitamin D.,Fatty fish are known to be high in vitamin D,no
Monar Jonban is a historic monument known for its shaken minarets.,Vibrating minarets holds a notable engineering feature which attracts engineers and tourists to Isfahan.,yes
"Compared to the base category of uneducated right-wing politicians,left-wing politicians with economics education increase the probability of reform.",Economic growth and stability are incread by Education.,no
People answering their own version of the question which might be completely opposite of its intended meaning.,A restaurant that creates an environment that appears completely opposite of its intended style won't give an image to build on,no
"When you are confused, you may not be able to find your way.",You're more likely to get lost when you're puzzled,no
"Seeds isn't the main food of wild birds, they search for other sources in nature.",Wild birds feed on seeds and also other sources in nature.,no
A point explosion in a cold exponential atmosphere is si cool., explosion and flow of volcanoes send tons of ash into the atmosphere. ,no
Applying safety to large extents can restrict freedom of movement of local citizens during games,Major sporting events increasingly have to implement higher levels of security,yes
Vincent van Gogh cut off parts of his left ear following an argument with Paul Gauguin.,Vincent van Gogh ended up in Saint-Remy mental asylum as a result of cutting parts of his ear.,yes
Consuming Alcohol triggers the release of dopamine,Dopamine is a neurotransmitter associated with pleasure,yes
Studying history allows to exercise critical thinking skills.,Drinking enough water during a day is a critical task to do.,no
With Covering the marketing and cost plan in your work plan will you should be able to determine how much you're going to spend on marketing,"After you spend a day at college, you go to work at a job where you can sit down the rest of the evening.",no
our school bus suddenly stopped running,when a vehicle stops running it may be out of gas,yes
congress man was using an iPhone when he was asking google CEO  about data collection,grilling Google CEO when you are using an iPhone  will make people to laugh at you,yes
increasing the average global weather degrees makes oceans to warm., As a result of the accumulation of GHGs the annual average global temperature is rising each year.,yes
A change in marrying patterns provided people with the ablity to accumulate more human capital during their youth,"the capacity to collect cash in the early years,encouraged economic development",yes
"It is estimated that nearly 85% of people with type 2 diabetes, are overweight or obese","In the UK, it is estimated that nearly 6000 people who have never smoked, die of lung cancer every year.",no
A neurotransmitter that is in charge of regulating optimistic moods and feelings is called dopamine.,Her constant optimism and positive mood was a sign of her ignoring her feelings .,no
"In the center of galaxy, there is such a strong gravitational field.","When there is such a strong gravitational field, the stars are acutally moving.",yes
"to provide safety,discipline and efficiency of aircraft movements there is an air traffic control task","Air traffic control is the task of ensuring the safty, orderliness and efficiency of aircraft movements",no
Orchids can grow both from the ground and as air plants.,Not all orchids grow from the ground some are air plants orchids.,no
people who are unqualified to receive personal belongings insurance are at risk of losing all their assets.,US’s position as world power is at risk by its economic issues.,no
"If you’re looking to maintain bone health as you venture into menopause, you’ll need to increase your intake of flavonoids.",Having an apple per day increases your intake of flavonoids.,yes
Keeping sociable animals isolated denies them regular interaction and is considered animal cruelty.,Guinea pigs and parrots are highly sociable animals.,yes
Honey can lower triglycerides.,The level of triglycerides can be decreased by honey.,no
Rose-Breasted Grosbeak has a heavy beak that is made for munching up foods much tougher than the average bug.,The heavy beak of Rose-Breasted Grosbeak helps the animal to chew foods harder than the average.,no
the extinction of Dinosaurs happened because of the stoppage of sunlight,Blockage of sunlight resulted in the extinction of Dinosaurs.,no
"My members of family divided to my sister Rose, my mother and my father.",The Rose-breasted Grosbeak is a member of the Cardinal family and subdivided to the genus Pheucticus.,no
Teachers like to have classrooms with disciplined and obedient students.,The well-organized classrooms are the outcome of precise assessment of students’ behavior and interaction.,yes
Jet is a compact form of lignite that is sometimes polished and has long been used as an ornamental stone,Lignite is the dirtiest coal used as fuel for electric power generation,yes
decreasing in onion gas spread can avoid eye irritation . ,The population (4079 in 1901) is slightly decreasing.,no
This thesis presents a search for basic matter production in association with decaying feed.,Scavengers feed on the dead and decaying matter.,no
"retrieving virus specimens from Dr. Birkin was failed, which followed by spread of viruses all over the city.","Code Veronica was the operation name, which intented to reclaim virus samples from Dr. William Birkin.",yes
 Smoking can impair the muscle that controls the lower end of your neck.,a weak flesh at the end of the throat may allow acid from the stomach to travel in the wrong direction back up your gullet ,yes
Access to mental health providers and services is a challenge in rural areas,"A rural area is an open swath of land that has few homes or other buildings, and not very many people",yes
malnutrition is often seen in poorer countries of the world,low birth weight happens as a result of malnutrition,yes
Over-consumpting natural resources can be very dangerous in places where resources are already scarce,"If natural resources are already low in a place, using up too much of them can be extremely dangerous.",no
"you will have a whole new approach to your budget,when you've put quantifiable objectives for yourself",financial planning helps you set measurable financial goals,yes
Being far from rest patterns can easily lead to fatigue. ,"In general, we can state that patterns only make sense if they are addressing easily problems.",no
Vitals of people interacting with radioactive compounds can be protected via lead shielding.,Lead shielding can keep safe people from radioactive contents.,no
Untreated gingivitis can progress to periodontitis disease.,"Gingivitis did not increase the risk of coronary heart disease, whereas periodontitis or having no teeth increased it by about 25%.",no
today we learn how they think an atomic attack is authorized.,Harry S. Truman authorized the atomic attack on Hiroshima.,no
Policy initiatives and actions are needed to support SME awareness of new technologies and make clear the benefits of their implementation,"each minister is responsible for the development of public policy (initiative, planning, drafting, negotiating, monitoring and evaluating) ",yes
We have made significant progress over the past year in cooperating on difficult border environmental problems. ,the venture arms of many companies have made significant investments,no
Spiders get most of the information about their surroundings through vibrations.,"Your snoring, breathing, and heartbeat makes vibration in the environment.",yes
"Even when his individuality is strong enough, as in a traditional seeker, he may not admit the strangeness of life.","While acting what others do, people might even risk losing their own individuality. ",no
Overusing iron cause feeling sick.,Dried fruit – such as dried apricots are a great source of iron.,yes
"A good strategy to teach all readers is that instead of just rushing through a passage or chapter, is to pause and generate questions.","When instead of just rushing through a passage or chapter, the teacher pause and express questions, this makes students focus on the main ideas and increase the student's engagement with the material.",yes
"To be handsome you don't need any outward beauty, the thing you need is a beautiful mind.",Voluminous hair is essential to beauty and being handsome. ,no
Creating bonds with people around you alleviates social stress ,"When you laugh as a group , you feel a natural connection to them",yes
retail sales provides you with greater inventory options,"it is always easier to find your favorite item ,with a longer list of products to choose from",yes
Sara is going to receive money from her father today,Sara buys groceries whenever she receives money from her father,yes
Digitalisation leverages digital technologies and data to transform businesses and business ecosystems.,"Climate change has the potential to transform ecosystems as we know them with implications for the services they provide to humanity, including fundamental resources such as food and water.",no
water production is started by chemical activities in the normally dry stratosphere.,If you just started drinking water regularly then your body won't get dry.,no
carrots have significant vitamin content.,Eating carrots will benefit your body.,yes
Changing your class can alters your behavior,change in nature of nap and resting alters the breathing pattern.,no
the new feature displays a quite easy-to-use gaphics,the software is unable to offer multi-tasking capability because of the new feature,yes
Children who can't get proper education are more likely to commit crimes in the future,Parents who do not have enough income can not provide decent education for their children,yes
"If physicists can see dark thing's gravitational effects on visible matter throughout the cosmos, it must exists.",Physicists can see dark matter's gravitational effects on visible matter throughout the cosmos.,yes
"Facebook company wants to do something to foster a cohesive workforce and promote staff happiness, loyalty, and productivity.","Playing music in a workplace foster a cohesive workforce and thereby promote staff happiness, loyalty, and productivity.",yes
People who have thin arteries suffer from reducing the amount of oxygen-rich blood circulating to your organs. ,smoking may narrows your arteries,yes
Low blood pressure and death might come about as a result of too much bleeding caused by severe bodily harms.,dire injuries can bleed excessively And lead to hypotension and death,no
Reading aloud to students can demonstrate teachers own think-aloud or interactive elements.,An interactive teaching strategy is reading out loud to students.,no
The money movement through the economy is decelerated by high interest rates.,Higher interest rates slow down the movement of money through the economy,no
Consumers looking for high quality products refuse buying goods with cheaper prices,"If costumers want products with high quality, they won’t buy cheap ones.",no
Too many absences from work puts you in the brink of getting fired,You may get fired if you ditch work too much.,no
"nowadays, children frequently demand to modernize their properties.",parents' life are regulated according to the requirements of their kids.,yes
 Examples of submissive methods include the arrangement of rooms or the sizing and orientation of windows in a building,Architects use many different passive techniques to minimize the energy needs of buildings,yes
Body language in different cultures is expressed in different ways.,The rate of a reaction is expressed in different ways.,no
Inference is using knowledge and information to come to conclusions. ,"If you use knowledge and information to conclude, you are using inference.",no
"Research shows that fruits rich in antioxidants, help reduce oxidative stress.",Concord grape juice is rich in antioxidants.,yes
Sweating helps with the detoxification of heavy metals,One way to cleanse the body of heavy metals is sweating.,no
"people who are more careful in driving, have fewer accidents.",Recently it has been shown women are more conscientious than men in all subjects.,yes
"When an employee is not  egger to her/his career, it can hinder productivity. ",devoting significant hours to gaming can hinder your career.,no
"The smaller you are, the harder it is for you to use all these digital tools","Linux does look like a good idea, even if it is harder for you to use.",no
The greenhouse effect causes temperature increase.,Temperature increase leads to changes in agricultural patterns.,yes
More orders are going to be placed if customers know your complementary offers.,"Chances are that when customers find out about your complementary offers, they're going to order more",no
A growth in the capital is usually associated with lower prices of goods,Prices of goods can decrease through capital growth.,no
Coupling coordinated development is between the social economy and ecological environment in Chinese provincial capital cities.,"with the capability of reaching a resolution between the need for water and the conservation of river biomes, it is possible to contribute to the local sustainable development of social economy and ecological environment",no
The mistletoe plant is traditional Chrismas three that is native to Europe.,Another popular evergreen this time of year is the mistletoe plant.,yes
"The loss of his parents, encouraged Bruce Wayne to become Batman.",A mysterious thief killed Bruce Wayne’s parents in front of him.,yes
Low levels of attentiveness makes routine working difficult,People with schizophrenia have difficulty concentrating,yes
Long-term dehydration can reduce the joints' shock-absorbing ability,"When shock-absorbing doesn't function well, we are more prone to joint pains",yes
Using eye masks and earplugs during the night helps to get enough sleep. ,Patients recover more quickly if they get sufficient sleep.,yes
electric engines change the way of transportation.,the automobile industry is experiencing a technological revolution of electrical vehicles.,yes
  College-educated parents are economically more stable.,Financially steady people are better able to afford to send their children to post-secondary schools. ,yes
Iran is one of the middle eastern countries in which possesses a large sources of natural gas in its national waters.,Countries in the middle east can not provide large amounts of water for their people,no
In early modern times the idea of someone denying God’s existence was often considered to be absurd.,Atheism is the world view that denies the existence of God. ,yes
He had enjoyed the voyage but was happy to feel the earth beneath his feet once more.,Galileo Galilei's observations proved the theory that the Earth was not the center point of creation (Heliocentric theory).,no
"The ability of precise odor detection, assists an animal in finding preys, drugs, missing person, etc.",Dogs have strong smelling capability.,yes
Building first evolved out of the dynamics between needs and means,"common needs include shelter, security and worship while common means include available building materials and attendant skills",yes
People who suffer from lactose intolerance cannot consume any food made of milk.,Alfredo pasta is an Italian milk based food.,no
"Protein increases production of hormones like PYY and GLP-1, both of which help you feel full and satisfied.","Protein helps reduce levels of ghrelin, also known as the ""hunger hormone"".",yes
"There are different types of essay which students are supposed to write such as argumentative, research, reflective, descriptive, narrative, and persuasive essay.",Newspaper writers are supposed to write stories in an unbiased fashion.,no
The region is renowned for its outstanding natural beauty.,The outstanding performance of East Asian societies in the Programme for International Student Assessment (PISA) is one of the most widely discussed topics in international assessments,no
Toddlers haven't learned how to show empathy,People who are less likely to show empathy are less likely to yawn in reaction to someone else's,yes
We can be better problem-solving abilities if we regularly solve puzzles.,Solving Puzzles help us develop problem solving skills,no
vitamin C can enhance iron’s absorption,Simultaneous ingestion of high-methoxy pectin from apple can enhance absorption of quercetin in human subjects.,no
"Gluten-free replacement products are often high in sugar, unhealthy oils and refined grains like corn starch or tapioca starch.","Products which are high in sugar are unhealthy and cause diseases such as Cardiovascular disease, blood pressure, liver diseases.",no
"Placebo is the method of treatment that does not involve any medication, but the procedure.","I involved with method Detection Limit Procedure, Revision 2.",no
Evaporation absorbs heat energy from the molecules.,To absorb molecule of oxygen from every possible source has been an arduous task to develop.,no
"In fact, a diet that includes whole grainsis associated with numerous positive outcomes.",You can benefit a lot by having a diet rich in whole grains.,no
He was dancing and sang with Michael Jackson's song.,The birds sing in the morning every day.,no
Curious people ask lots of questions.,One of openness people's personalities is curiosity. ,yes
people who can not control their feelings tend to intense anxiety and irritability .,The manipulative type of people who tend to control people using fear will be good at figuring out exactly what you're worried about.,no
Potatoes hold much of Vitamin C.,"Use a pot large enough to hold the potatoes with enough water to cover, plus room for the water to boil up without boiling over.",no
Permeation grouting is an effective method to enhance the bearing capacity of the soil and to decrease the void ratio of the soil mass.,calming the body is an effective method to enhance sleep,no
Cigarette smoke mostly effects non-smokers,Cigarette smoke greatly increases the risk for coronary heart diseases,yes
The agency says people in coastal areas need to recognize signs of a possible tsunami.,"Signs of a posiible Tsunami is hearing a roaring or sucking noise, seeing the ocean suddenly pull back or rise, or feeling a strong earthquake that lasts more than twenty seconds.",yes
Vitamin B6 allow the body to use and store energy from protein and carbohydrates in food.,Pork has a large amount of Vitamin B6.,yes
Workers’ satisfaction and creativity are influenced by their social patterns.,The social patterns of workers influence their job satisfaction and productivity.,no
Eating too much salt cause damaging the arteries leading to the heart.,Damaging the arteries leading to the heart may cause a slight reduction in the amount of blood reaching the heart,yes
Rising in the population of tiny aquatic creatures may lead to ecological disasters.,catching of essential predators such as sharks results in increased numbers of smaller marine animals,yes
arranging practical assumptions eventually saves the business owner from making costly mistakes in the long run,A business plan helps set up realistic expectations,yes
one big reason consumers still visit physical stores is that they are less likely to experience tension while shopping,"When employees believe their input is considered, they are less likely to experience resistance to change.",no
"In their evaluation of the project, they delivered a proper assesment and provided the amendable details",Evaluation of image details provides reliable assessment in regard with locating micro cracks on materials.,no
Transferring funds could be made a lot easier with ongoing account access,Online banking provides round-the-clock access to your account,yes
Adding natural fertilizer will help to ensure the return of a green and lush lawn next season.,a friendly and helpful staff ensures the return of customers to your shop,no
Predetermined branding rules limit creative opportunities to alter or make additions to the existing business model,Famous Franchise brands usually have prearranged labeling regulations,yes
Having a stronger immune system lessens the chances of getting sick,You are less likely to become ill if you have a powerful defense system.,no
"he shouts ""yes!"" every time he plays the PES game"," I heard him shouting ""yes!"" when he was playing with his laptop",yes
Low-GI and low-GL foods are better for helping control blood sugar levels.,Diabetes is a chronic but manageable condition in which the body struggles to control the levels of blood sugar.,yes
An integrated cockpit navigational instrument and display affecting full situational awareness for glider pilots.,Sleep apnea affects spatial navigational memory.,no
You’d do a hard thing if it matters to you.,Holding on to things can be really hard.,yes
"Our work had an important influence on the formation of mountains, animal's life, vegetation, and biodiversity.","A unique habitat for animals and vegetation, supporting biodiversity is provided with the formation of mountains.",no
Pregnant women should not eat food that may harm their babies.,Pregnant women should prevent eating food that can harm the fetus,no
fast food increases the possibility of overweighting., excessive fat is the cause of a heart attack.,yes
High-carbohydrate foods increase the body's demand for insulin.,Daily insulin and healthy food injections are necessary for some diabetic's body.,no
Organizing paramilitary voluntary militia favored villagers with vital requirements such as road and electricity.,Your vital requirement such as electricity that she wait till next week is reasonable.,no
Automatisms may decrease production costs and open new opportunities for open field crops.,Today the sharp rise in the time spent on mobile phones has lead to an incredible decrease in the real life conversations between the members of the family.,no
"I try not to watch TV during days, then I have too much free times.",I gain a lot of time by not watching TV during the days.,no
Stress is increased due to a lack of sleep.,A lack of sleep will promote stress.,no
"When flowers obtain light, photosynthesis takes place to make oxygen. ",Chlorophyll is the chemical that allows plants to capture sunlight,yes
Olesya Petrova is a Russian Rhythmic gymnast.,Uliana Donskova is a Russian group rhythmic gymnast who helped her teammates to clinch the coveted Olympic title at the 2012 Games,no
German translator translate difficult words to English form.,"Because of word formation in Stanis?aw Lems works, translating them is difficult.",no
weather variation is a serious problem for the earth and every living being.,In order escape from our humdrum life we need variation.,no
Nostalgia makes you think about the past and how things used to be different.,Thinking of how things used to be either makes you feel things were better or you feel wistful about current time with respect to the past.,yes
The Titanic collided with a massive iceberg.,A contact with large glacial resulted in sinking of Titanic.,yes
The Mediterranean diet is linked to decreased risk of heart disease,Epidemiologic research reporting that consumption of phytoestrogens is linked to decreased risk of hormone-dependent diseases.,no
Nintendo is the publisher of “Legend of Zelda”.,Their legends were passed from generation to generation.,no
Employment levels can have a tremendous effect on economy-wide purchasing power.,Employment levels affect total purchasing power rather than causing a relative shift.,yes
Farmers' lives could be made a lot easier with special drones that use infra-red technology to monitor farm estates.,Transferring funds could be made a lot easier with online banking,no
it is possible for the local residents to maintain their traditions and culture by evolving their collective personality,Tourism allows local communities to develop their own communal identity,yes
Hunting mammals and saltwater fish provides hunters with adequate amount of food supply in northwest America.,Native Americans were required to find proper food resources in northwest region.,yes
People with a gap in their personality will engage in all sorts of activities to try and fill their void. ,Those with BPD often experience chronic feelings of emptiness.,yes
the mixture of fresh water and salt water in estuaries provides many nutrients for marine life,"sea animals access to nourishment,is an important part of a local ecosystem",yes
The world's most important waterway is the waterway which has the most of world's oil.,The most important matter when making olive oil is to start by crushing the olives into a paste with a meat tenderizer.,no
 Consuming breakfast controls hunger and cravings throughout the day.,Controlling hunger prevents overeating the rest of the day.,yes
Having an online account is neccery for communicatin in social media applications.,It is necessary to make an effort to extract our self from the jail that we have created.,no
The hair sticking out from the skin is known as the hair shaft.,The hair shaft is made up of dead cells that have been pushed up through the root.,yes
Carbon dioxide controls Earth's temperature,Burning natural gas will make CO2.,yes
Heavy use of alcohol can permanently damage the genes involved in healthy sleep and wake cycles.,Genes involved in healthy sleep and wake cycles may stop functioning due to heavy drinking of alcohol.,no
 I gave a talk about critical thinking to a large group of first-year students,A strategy game is a game where the players long term planning and critical thinking is the key to success,yes
"If I wanted someone to organize my life, I would have stayed back in Muskogee with my parents instead of moving here.",Moving ahead in life is associated with boasting a conclusive point of view,no
HDPE is a type of plastic that is made from petroleum with a high strength-to-density ratio.,"HDPE is used in the production of plastic bottles, corrosion-resistant piping, geomembranes, and plastic lumber.",yes
Your customers will be content with your business if you strive to correct your mistakes,Keeping the customer happy with your company is one of the most important factors of successful customer service,yes
All living creatures have microorganisms named cells in their bodies that carry DNA.,"Like all other animals, elephant has many cells as its operating system.",yes
My mother has started taking pills to reduce her appetite.,Appetite can be reduced due to depression.,no
"  With the presence of obstacles such as fallen trees, trails become extended. ",Widening paths contribute to damage or removal of vegetation.,yes
 'Short-looping' for the selected heat pump will produce less heat and place excessive strain on the system.,Backpacks place excessive strain on growing bones and muscles of students.,no
"The high heat conductive adhesive tape of metal foil provided in the present invention is suitable for carrying and using, has a high heat conduction velocity.",The company has a loyal and devoted user base,no
Endorphins are peptide hormones that structurally identical to opium.,"When you watch TV, brain activity releases a surge of Endorphins.",yes
Giving rewards to children for their good grades can be very encouraging,"When you encourage your child for his good accomplishments, he tends to work harder to receive more",yes
the actress has won an emmy award,Emmy is an award for television performance,yes
A lot of animals living in the sea may die as a result of the oceans being unclean.,the pollution and trash in the oceans lead to the death of many sea creatures,no
"Accepting uncertainties and threats can lead to failure, which in turn can help you grow as a person.  ",Climate Change Is Making the Future of Cranberry Growing Uncertain.,no
"Their predecessors have signed, all were dedicated to making large crowded House.",Governance of metropoles that are larger and more crowded requires the most dedicated of minds,no
"However, if they are getting wealthier over time, even if the rich are getting wealthier faster, the poor will tend to accept the system more.",People tend to be more productive if they're well-rested,no
Babies of destitute women suffer from malnutrition even when they are in their mothers’ wombs.,Children of pregnant women struggling with poverty often do not receive enough nourishment when they are still in the womb,no
Social networking Facilitates the sharing of information to people across the world,Distributing personal information with strangers might have a negative impact on your privacy,yes
Sophie Turner and Nick Jonas’ marriage were held in complete secrecy.,Secret weddings of celebrities preserve their private life from media attention.,yes
"When purchase power is high, people spend more money on goods",A customer base with money to spend benefits companies significantly,yes
cars were one of the most important inventions during the last decades.,The turning point of his career happened during last decade.,no
having a busy mind at bedtime is a factor of insomnia.,Concerns about work can keep your mind active at night.,yes
Catastrophic fiscal reductions and casualties are usually followed by physiological and monetary problems,"Owing to the physical and population density of cities, environmental threats often conclude in both devastating financial loss and deaths",yes
 Smartphones are said to be useful for solving anxiety in busy job life. ,stress prevention in work-life contributes to better performance . ,yes
Modern ecologists are interested in problems involving behavior and adaptation.,The characteristic-oriented people are reluctant to the idea of communities as integrated ecosystems.,yes
withdrawals could damage long-term investments,low interest rates encourage People to pull cash out of banks,yes
Many studies have shown that smoking increases the risk of MS.,Many studies have shown that being thin - having a body mass index (BMI) less than 18.5 - increases the risk for osteoporosis-related fracture.,no
smoking is associated with decreased bone health,"Associated Health Education (AHE) includes all health professions with the exception of Medicine, Dentistry, and Nursing.",no
Hosting an international event is associated with inoculation of external guests,The injection of foreign visitors may be offset by locals leaving to avoid the influx and overcrowding,yes
The hunt ban of big-sized herbivores has increased the expansion of their population.,The increase of Raccoon’s population has direct relation with agricultural developments.,no
The mixture of daily exercise and healthy nutrition can increase the strength of the bones.,The compressive strength is increased by gross tough particles in mixture.,no
Another negative effect of LDL is the risk of obesity.,"If you are at risk of being very fat it can trigger other health problems like heart attack, osteoarthritis and certain types of cancer for diagnosis heart attack.",yes
When children are aware of the impacts of breaking certain guidelines they tend to leave their bad habits,Establishing rules lets children know the consequences of violating them,yes
Providing smaller servings might drive customers away,Customers may be decreased with smaller servings.,no
"The basic causes of dehydration are not taking in enough water, losing too much water, or a combination of both.",High blood sugar levels  cause increased urination and fluid loss.,yes
Lemon water is known to be a natural laxative,Laxatives help prevent constipation,yes
The enduring of the 'now' is henceforth sealed off from the past. ,"The Alpine nation is now “the Silicon Valley of robotics,""",no
" Metals that can be formed simply are used in a wide variety of products, including cans.  ","Aluminium can be easily cast, machined and formed.",yes
Surfactant enhanced growth of high-quality gallium nitride on silicon for RF power amplifiers.,"With enhanced farming production and a better organized power transference, there will be more Consumption growth and less power line losses",no
"PETE can be used as mixed with glass fiber for engineering resins, thermoformed for industrial uses, and also applied in fibers for clothing.","PETE is used in fibres for clothing, containers for liquids and foods, thermoforming for manufacturing, and in combination with glass fibre for engineering resins.",no
"In Brazil, 53% of entrepreneurs operate on their own, with no co-founders or employees","When you don’t have another person who’s as involved in the details as you are, you don’t get to brainstorm or debate the details, which is incredibly important.",yes
Research suggests that supplementing with creatine can increase your body’s stored supply of this compound.,The body’s stored supply of creatine can be higher if you take its supplement.,no
Many tourism operators are offering tours that support the conservation of the local area,it is possible to provide assistance to the environment in dealing with the influx of tourists by standing up for the protection of the local region,yes
Having proper responses helps you in your interpersonal relationships and daily life.,psychotherapy teaches you appropriate reactions.,yes
disorders in sleep times result in serious neurological conditions.,Consuming too much coffee at night unsettles the sleeping hours.,yes
Bananas also rank low to medium on the glycemic index (GI).,Glycemic index is a measure — from 0–100 — of how quickly foods increase blood sugar levels.,yes
university professors supervise all graduate studies.,PhD sutudents conduct researches.,yes
Progressive muscle relaxation involves tensing and unsensing different muscles in the body to help soothe the body.,calming the body is an effective method to enhance sleep,yes
chilling and hardening of volcanic ashes contributes to the formation of new islands,the magma cools and solidifies upon contact with the water at the time of volcanic eruptions,yes
Companies with a relatively small number of staff will have less wage costs,An e-commerce store allows you to hire less people,yes
Libraries Trend Income Inequality for those who can afford and have access to quality education.,the outcomes of racist actions are often measured by the inequality in income and access to other cultural resources,no
